Date Local,State,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2000-01,Arizona,18684.533624,36716.0,6028,27536,6.05333999999999,12.231999999999983,3660,10556,1581.962166,3086.6000000000017,5328,2448.0,491.8633720000001,1085.7999999999993,4678,5014.0
2000-01,California,62102.23861600029,104314.0,35024,98782,35.89917399999986,60.58200000000012,28030,51388,4888.55912399999,10158.000000000015,25397,8294.0,2814.4051999999933,5499.800000000011,26320,25674.0
2000-01,Colorado,1119.5669800000012,3240.0,728,3084,1.343152,2.6639999999999966,1348,2256,339.53515599999986,1606.1999999999991,1188,1434.0,106.38346800000001,220.60000000000005,1330,1002.0
2000-01,District Of Columbia,2733.2033879999994,4048.0,1376,3828,1.456407999999998,2.376,1316,2004,1432.1828639999999,2596.3999999999987,1606,2072.0,128.64154200000004,227.60000000000016,1408,1128.0
2000-01,Florida,1950.045452,4004.0,1692,3800,2.2179479999999994,3.955999999999997,1228,3356,112.06005799999994,436.6000000000002,1418,366.0,97.78454600000002,160.8,1228,796.0
2000-01,Illinois,3328.564564,4908.0,1176,4676,0.443664,0.9040000000000006,908,764,681.9778100000004,1425.5999999999995,1026,1144.0,78.80273799999998,133.2,1012,660.0
2000-01,Kansas,2968.5238120000004,4868.0,2832,4584,4.362500000000004,6.387999999999994,2564,5424,645.103574,1734.599999999999,2736,1420.0,269.6894800000003,373.3999999999999,2486,1946.0
2000-01,Louisiana,2182.2229360000015,4352.0,1756,4136,2.0420639999999985,3.187999999999999,1220,2692,751.3017339999998,1909.599999999999,1404,1596.0,97.11920599999993,136.00000000000006,1278,698.0
2000-01,New Jersey,2862.339916000001,4468.0,1804,4248,1.517172,2.423999999999999,1192,2048,1083.2938379999998,2139.1999999999985,1796,1662.0,92.76676600000002,163.00000000000009,1294,836.0
2000-01,New York,5198.998631999999,8084.0,3156,7628,3.9654320000000007,6.031999999999997,2480,5112,2444.3650479999997,4531.6,2942,3496.0,88.19967799999989,183.7999999999999,2518,902.0
2000-01,Pennsylvania,3603.9184319999995,5176.0,1680,4908,0.8969999999999985,1.4799999999999993,1280,1260,908.9360220000004,1859.599999999999,1494,1440.0,90.98673199999995,164.39999999999995,1414,832.0
